cohort,reaction_pt,a,b,c,d,N,PRR,PRR_LCL,PRR_UCL,ROR,ROR_LCL,ROR_UCL,chi2,flagged
MINOXIDIL_SYSTEMIC,ABDOMINAL DISCOMFORT,1,744,8137,881199,1,0.146705,0.020689,1.040262,0.145558,0.020474,1.034853,5.00828,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL EXPOSURE TO PRODUCT,5,740,12273,877063,5,0.486328,0.202981,1.165204,0.482857,0.200346,1.163741,2.749598,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL OVERDOSE,1,744,1153,888183,1,1.035334,0.145904,7.346743,1.035381,0.145526,7.366455,0.001206,False
MINOXIDIL_SYSTEMIC,ACCIDENTAL POISONING,1,744,6,889330,1,198.9566,23.981051,1650.625261,199.22267,23.954616,1656.86952,168.825578,False
MINOXIDIL_SYSTEMIC,ACNE,2,743,3038,886298,2,0.785872,0.196816,3.137924,0.785296,0.19594,3.147333,0.117011,False
MINOXIDIL_SYSTEMIC,ADVERSE DRUG REACTION,10,735,6504,882832,10,1.835393,0.991189,3.398612,1.846759,0.989008,3.448424,3.824506,False
MINOXIDIL_SYSTEMIC,ADVERSE EVENT,11,734,3724,885612,11,3.526084,1.959579,6.344866,3.563941,1.963294,6.469573,19.931539,True
MINOXIDIL_SYSTEMIC,ALLERGIC REACTION TO EXCIPIENT,1,744,132,889204,1,9.043482,1.266106,64.595353,9.054293,1.264297,64.842558,7.10133,False
MINOXIDIL_SYSTEMIC,ALOPECIA,108,637,7333,882003,108,17.581328,14.745802,20.962108,20.392605,16.608555,25.038803,1678.444553,True
MINOXIDIL_SYSTEMIC,ALOPECIA AREATA,2,743,76,889260,2,31.4142,7.729563,127.672419,31.496069,7.721235,128.477153,57.387041,False
MINOXIDIL_SYSTEMIC,ANORGASMIA,1,744,20,889316,1,59.68698,8.020468,444.18051,59.76586,8.010443,445.912646,54.957234,False
MINOXIDIL_SYSTEMIC,ANXIETY,1,744,11479,877857,1,0.103993,0.014666,0.737374,0.102789,0.014458,0.730758,7.820183,False
MINOXIDIL_SYSTEMIC,APPLICATION SITE ACNE,2,743,50,889286,2,47.749584,11.639694,195.883396,47.875424,11.627777,197.119046,88.025386,False
MINOXIDIL_SYSTEMIC,APPLICATION SITE DISCOMFORT,2,743,76,889260,2,31.4142,7.729563,127.672419,31.496069,7.721235,128.477153,57.387041,False
MINOXIDIL_SYSTEMIC,APPLICATION SITE DRYNESS,17,728,196,889140,17,103.538639,63.410083,169.062224,105.933085,64.196625,174.803869,1588.919788,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE ERYTHEMA,18,727,672,888664,18,31.975168,20.133437,50.781759,32.742091,20.387536,52.583328,526.434073,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE EXFOLIATION,5,740,179,889157,5,33.344681,13.750981,80.857344,33.563227,13.760692,81.862902,152.642048,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE HYPERSENSITIVITY,3,742,47,889289,3,76.196145,23.768491,244.266768,76.500172,23.757833,246.330387,209.281894,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE IRRITATION,18,727,513,888823,18,41.8856,26.323267,66.648393,42.897898,26.661452,69.02211,694.433278,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE MASS,1,744,5,889331,1,238.747919,27.925437,2041.170148,239.067473,27.895637,2048.824224,197.294753,False
MINOXIDIL_SYSTEMIC,APPLICATION SITE PAIN,28,717,877,888459,28,38.112553,26.342761,55.141019,39.561857,26.96486,58.043712,981.577197,True
MINOXIDIL_SYSTEMIC,APPLICATION SITE PARAESTHESIA,2,743,14,889322,2,170.534228,38.82475,749.05628,170.990579,38.793102,753.684968,294.950463,False
