cohort,reaction_pt,a,b,c,d,N,PRR,PRR_LCL,PRR_UCL,ROR,ROR_LCL,ROR_UCL,chi2,flagged,unstable_den,sparse_bg
HYDRALAZINE,ACIDOSIS HYPERCHLORAEMIC,2,56,29,565415,2,672.347206,164.211493,2752.85705,696.323892,162.251717,2988.36259,1254.269538,False,False,False
HYDRALAZINE,ACUTE FEBRILE NEUTROPHILIC DERMATOSIS,1,57,55,565389,1,177.255172,24.944932,1259.550295,180.347368,24.536926,1325.560208,172.148204,False,False,False
HYDRALAZINE,ACUTE HEPATIC FAILURE,3,55,425,565019,3,68.816714,22.769084,207.989927,72.515807,22.597971,232.699756,199.2392,True,False,False
HYDRALAZINE,ACUTE KIDNEY INJURY,5,53,6003,559441,5,8.120135,3.511571,18.776949,8.791846,3.513171,22.001936,31.525383,True,False,False
HYDRALAZINE,ACUTE MYOCARDIAL INFARCTION,1,57,655,564789,1,14.884022,2.129211,104.045177,15.127601,2.091577,109.412332,12.946484,False,False,False
HYDRALAZINE,ACUTE RESPIRATORY FAILURE,3,55,715,564729,3,40.90504,13.556537,123.425494,43.081678,13.446604,138.029717,116.448337,True,False,False
HYDRALAZINE,AMENORRHOEA,1,57,317,565127,1,30.754052,4.392408,215.328761,31.276053,4.317474,226.56571,28.71219,False,False,False
HYDRALAZINE,ANAEMIA,2,56,8625,556819,2,2.260646,0.579068,8.825417,2.305669,0.562564,9.449785,1.427445,False,False,False
HYDRALAZINE,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE VASCULITIS,30,28,54,565390,30,5416.130268,3761.262449,7799.10136,11218.055556,6280.966278,20035.893345,104430.885244,True,False,False
HYDRALAZINE,AUTOIMMUNE HEPATITIS,1,57,247,565197,1,39.469775,5.632249,276.597003,40.144684,5.536933,291.062877,37.360305,False,False,False
HYDRALAZINE,AZOTAEMIA,1,57,111,565333,1,87.829139,12.471917,618.506187,89.352458,12.264829,650.955828,85.090945,False,False,False
HYDRALAZINE,BLISTER,1,57,2734,562710,1,3.56585,0.510693,24.89812,3.610865,0.49981,26.086623,1.854583,False,False,False
HYDRALAZINE,BRADYCARDIA,1,57,1497,563947,1,6.512381,0.932409,45.485502,6.60909,0.91455,47.761254,4.675204,False,False,False
HYDRALAZINE,BURNING SENSATION,1,57,2829,562615,1,3.446106,0.493549,24.06173,3.48902,0.48295,25.206057,1.744405,False,False,False
HYDRALAZINE,CHOLESTATIC LIVER INJURY,1,57,49,565395,1,198.959887,27.938453,1416.865758,202.432868,27.48279,1491.081021,193.042684,False,False,False
HYDRALAZINE,DEPRESSED MOOD,1,57,2825,562619,1,3.450986,0.494248,24.095811,3.493985,0.483637,25.241939,1.748882,False,False,False
HYDRALAZINE,DRUG INEFFECTIVE,3,55,42725,522719,3,0.684543,0.227412,2.060578,0.667336,0.208762,2.133235,0.471726,False,False,False
HYDRALAZINE,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,1,57,1711,563733,1,5.697858,0.815857,39.793205,5.780276,0.799926,41.768361,3.882855,False,False,False
HYDRALAZINE,DRUG INTERACTION,1,57,4313,561131,1,2.260384,0.32377,15.780768,2.282496,0.31598,16.487699,0.708025,False,False,False
HYDRALAZINE,DRUG-INDUCED LIVER INJURY,3,55,1259,564185,3,23.230424,7.707007,70.02103,24.442992,7.636732,78.235023,63.811103,True,False,False
HYDRALAZINE,ESCHERICHIA BACTERAEMIA,1,57,106,565338,1,91.972023,13.054755,647.951881,93.568024,12.838194,681.947537,89.158805,False,False,False
HYDRALAZINE,ESCHERICHIA URINARY TRACT INFECTION,1,57,237,565207,1,41.135167,5.868907,288.316345,41.839292,5.769705,303.399624,39.01136,False,False,False
HYDRALAZINE,EXTRADURAL ABSCESS,1,57,32,565412,1,304.657328,42.330533,2192.651039,309.984649,41.648802,2307.160802,293.506204,False,False,False
HYDRALAZINE,FATIGUE,1,57,49217,516227,1,0.198083,0.028379,1.382616,0.184014,0.025479,1.328959,3.555899,False,False,False
HYDRALAZINE,GASTRIC MUCOSAL HYPERTROPHY,1,57,10,565434,1,974.903448,126.830128,7493.777272,991.989474,124.925492,7877.040154,884.475817,False,False,False
HYDRALAZINE,GASTROINTESTINAL TRACT MUCOSAL PIGMENTATION,1,57,12,565432,1,812.41954,107.370414,6147.18229,826.654971,105.731296,6463.161519,748.097909,False,False,False
HYDRALAZINE,GLOMERULONEPHRITIS,1,57,88,565356,1,110.784483,15.695235,781.969941,112.710526,15.435863,822.996582,107.588043,False,False,False
HYDRALAZINE,GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE,7,51,43,565401,7,1587.052125,745.007298,3380.81849,1804.745554,775.49558,4200.032341,9542.861338,True,False,False
HYDRALAZINE,HAEMOPTYSIS,1,57,1007,564437,1,9.681266,1.385669,67.640189,9.833569,1.360317,71.085713,7.790722,False,False,False
HYDRALAZINE,HEPATIC ENCEPHALOPATHY,2,56,300,565144,2,64.993563,16.572968,254.882724,67.279048,16.343878,276.95203,125.250232,False,False,False
HYDRALAZINE,HYPERKALAEMIA,2,56,1057,564387,2,18.446612,4.719605,72.098722,19.069705,4.647595,78.245561,33.001119,False,False,False
HYDRALAZINE,HYPERTENSION,1,57,11932,553512,1,0.817049,0.117049,5.70336,0.81384,0.112681,5.87796,0.041845,False,False,False
HYDRALAZINE,HYPOGLYCAEMIA,2,56,1221,564223,2,15.968934,4.086418,62.403525,16.503539,4.022874,67.704529,28.077943,False,False,False
HYDRALAZINE,HYPOKALAEMIA,1,57,2027,563417,1,4.809588,0.688731,33.586603,4.876423,0.674902,35.233984,3.026873,False,False,False
HYDRALAZINE,HYPOTENSION,1,57,7942,557502,1,1.227529,0.175845,8.569041,1.231521,0.170505,8.895024,0.042769,False,False,False
HYDRALAZINE,HYPOXIA,1,57,1387,564057,1,7.028864,1.006304,49.09543,7.134634,0.987223,51.561804,5.180123,False,False,False
HYDRALAZINE,INFECTION REACTIVATION,1,57,53,565391,1,183.944047,25.868861,1307.959088,187.153592,25.446124,1376.495194,178.597103,False,False,False
HYDRALAZINE,INTERVERTEBRAL DISCITIS,1,57,107,565337,1,91.112472,12.93387,641.840577,92.693392,12.719273,675.515401,88.315097,False,False,False
HYDRALAZINE,LACTIC ACIDOSIS,1,57,763,564681,1,12.77724,1.828219,89.298878,12.983859,1.795555,93.887736,10.855962,False,False,False
HYDRALAZINE,LEFT VENTRICLE OUTFLOW TRACT OBSTRUCTION,1,57,12,565432,1,812.41954,107.370414,6147.18229,826.654971,105.731296,6463.161519,748.097909,False,False,False
HYDRALAZINE,LEFT VENTRICULAR FAILURE,1,57,212,565232,1,45.986012,6.557776,322.474134,46.77524,6.44727,339.35653,43.817652,False,False,False
HYDRALAZINE,LUPUS NEPHRITIS,7,51,82,565362,7,832.234651,402.023477,1722.821065,946.325681,417.152742,2146.773124,5355.397669,True,False,False
HYDRALAZINE,LUPUS-LIKE SYNDROME,4,54,342,565102,4,114.023795,44.030675,295.281095,122.395928,44.083914,339.823798,443.220747,True,False,False
HYDRALAZINE,MICROSCOPIC POLYANGIITIS,1,57,11,565433,1,886.275862,116.293637,6754.324024,901.807018,114.531546,7100.715277,810.604442,False,False,False
HYDRALAZINE,MITRAL VALVE INCOMPETENCE,1,57,346,565098,1,28.1764,4.025308,197.229496,28.653179,3.956416,207.512215,26.1524,False,False,False
HYDRALAZINE,NEPHROPATHY,1,57,555,564889,1,17.565828,2.51217,122.825424,17.856456,2.468216,129.18362,15.610006,False,False,False
