cohort,reaction_pt,N,PRR,PRR_LCL,PRR_UCL,chi2,flagged,decision,interpretation
HYDRALAZINE,CARDIAC TAMPONADE,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"HYDRALAZINE: No disproportionate reporting for CARDIAC TAMPONADE (PRR=0.0, N=0)"
HYDRALAZINE,PERICARDIAL EFFUSION,3.0,30.69,10.177,92.545,86.041,True,Reject H0 (signal),"HYDRALAZINE: Disproportionate reporting for PERICARDIAL EFFUSION (PRR=30.7, 95% CI 10.2-92.5, N=3)"
HYDRALAZINE,PERICARDITIS,1.0,6.659,0.953,46.511,4.819,False,Fail to reject H0,"HYDRALAZINE: No disproportionate reporting for PERICARDITIS (PRR=6.7, N=1)"
HYDRALAZINE,PLEURAL EFFUSION,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"HYDRALAZINE: No disproportionate reporting for PLEURAL EFFUSION (PRR=0.0, N=0)"
MINOXIDIL_SYSTEMIC,CARDIAC TAMPONADE,3.0,379.344,129.501,1111.209,1112.979,True,Reject H0 (signal),"MINOXIDIL_SYSTEMIC: Disproportionate reporting for CARDIAC TAMPONADE (PRR=379.3, 95% CI 129.5-1111.2, N=3)"
MINOXIDIL_SYSTEMIC,PERICARDIAL EFFUSION,5.0,114.348,51.88,252.035,559.794,True,Reject H0 (signal),"MINOXIDIL_SYSTEMIC: Disproportionate reporting for PERICARDIAL EFFUSION (PRR=114.3, 95% CI 51.9-252.0, N=5)"
MINOXIDIL_SYSTEMIC,PERICARDITIS,1.0,14.856,2.172,101.597,12.948,False,Fail to reject H0,"MINOXIDIL_SYSTEMIC: No disproportionate reporting for PERICARDITIS (PRR=14.9, N=1)"
MINOXIDIL_SYSTEMIC,PLEURAL EFFUSION,3.0,26.939,9.286,78.152,75.159,True,Reject H0 (signal),"MINOXIDIL_SYSTEMIC: Disproportionate reporting for PLEURAL EFFUSION (PRR=26.9, 95% CI 9.3-78.2, N=3)"
MINOXIDIL_TOPICAL,CARDIAC TAMPONADE,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"MINOXIDIL_TOPICAL: No disproportionate reporting for CARDIAC TAMPONADE (PRR=0.0, N=0)"
MINOXIDIL_TOPICAL,PERICARDIAL EFFUSION,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"MINOXIDIL_TOPICAL: No disproportionate reporting for PERICARDIAL EFFUSION (PRR=0.0, N=0)"
MINOXIDIL_TOPICAL,PERICARDITIS,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"MINOXIDIL_TOPICAL: No disproportionate reporting for PERICARDITIS (PRR=0.0, N=0)"
MINOXIDIL_TOPICAL,PLEURAL EFFUSION,0.0,0.0,0.0,0.0,0.0,False,Fail to reject H0,"MINOXIDIL_TOPICAL: No disproportionate reporting for PLEURAL EFFUSION (PRR=0.0, N=0)"
